sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
223;PACKXX-XX-X-XXXRIDO;GRIDO;58;Pack;0.64100000000000001;3.3119999999999998;2
224;PACKXX-XX-X-XXXRIDO;GRIDO;57;Pack;0.76900000000000002;4.2240000000000002;2
225;PACKXX-XX-X-XXXBANA;VIA BANA;40;Pack;0.59499999999999997;3.3119999999999998;2
226;PACKXX-XX-X-XXXBANA;VIA BANA;40;Pack;0.69899999999999995;4.2240000000000002;2
227;PACKXX-XX-X-XXXBANA;VIA BANA;40;Pack;5;5;2
228;PACKXX-XX-X-XXXRIDO;GRIDO;36;Pack;5;5;2
229;PACKXX-XX-X-XXXRIDO;GRIDO;36;Pack;5;5;2
230;PACKXX-XX-X-XXXRIDO;GRIDO;36;Pack;5;5;2
231;PACKXX-XX-X-XXXRIDO;GRIDO;36;Pack;5;5;2
232;PACKXX-XX-X-XXXRIDO;GRIDO;36;Pack;5;5;2
233;PACKXX-XX-X-XXXRIDO;GRIDO;36;Pack;5;5;2
234;PACKXX-XX-X-XXXRIDO;GRIDO;62;Pack;5;5;2
235;PACKXX-XX-X-XXXRIDO;GRIDO;62;Pack;5;5;2
236;PACKXX-XX-X-XXXRIDO;GRIDO;62;Pack;5;5;2
237;PACKXX-XX-X-XXXRIDO;GRIDO;62;Pack;5;5;2
238;PACKXX-XX-X-XXXRIDO;GRIDO;62;Pack;5;5;2
239;PACKXX-XX-X-XXXRIDO;GRIDO;62;Pack;5;5;2
240;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
241;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
242;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
243;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
244;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
245;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
246;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
247;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
248;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
249;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
250;PACKXX-XX-X-XXXBANA;VIA BANA;41;Pack;5;5;2
251;PACKXX-XX-X-XXXRIDO;GRIDO;61;Pack;0.016;4.1360000000000001;2
252;PACKXX-XX-X-XXXRIDO;GRIDO;61;Pack;5;5;2
253;PACKXX-XX-X-XXXRIDO;GRIDO;61;Pack;0.016;4.2080000000000002;2
254;PACKXX-XX-X-XXXRIDO;GRIDO;61;Pack;0.016;4.2080000000000002;2
255;PACKXX-XX-X-XXXILLA;SIN DEFINIR;60;Pack;5;5;2
256;PACKXX-XX-X-XXXLATE;SIN DEFINIR;60;Pack;5;5;2
257;PACKXX-XX-X-XXXECHE;SIN DEFINIR;60;Pack;5;5;2
258;PACKXX-XX-X-XXXBANA;VIA BANA;42;Pack;0.90900000000000003;4.2080000000000002;2
259;PACKXX-XX-X-XXXBANA;VIA BANA;42;Pack;5;5;2
260;PACKXX-XX-X-XXXBANA;VIA BANA;42;Pack;0.90900000000000003;4.2080000000000002;2
261;ImpuXX-XX-X-XXXrios;SIN DEFINIR;38;Unidades;5;5;2
262;IMPUXX-XX-X-XXXRIOS;SIN DEFINIR;39;Unidades;5;5;2
263;LIMOXX-XX-X-XXXRIDO;GRIDO;43;Baldes;0.80000000000000004;7.7999999999999998;2
264;DURAXX-XX-X-XXXRIDO;GRIDO;43;Baldes;1.4080000000000001E-2;7.7999999999999998;2
265;ANANXX-XX-X-XXXRIDO;GRIDO;43;Baldes;5;5;2
266;FRUTXX-XX-X-XXXRIDO;GRIDO;43;Baldes;0.80000000000000004;7.7999999999999998;2
267;GRANXX-XX-X-XXXRIDO;GRIDO;44;Baldes;5;5;2
268;DULCXX-XX-X-XXXRIDO;GRIDO;44;Baldes;5;5;2
269;FRUTXX-XX-X-XXXRIDO;GRIDO;44;Baldes;5;5;2
270;CHOCXX-XX-X-XXXRIDO;GRIDO;44;Baldes;5;5;2
271;VAINXX-XX-X-XXXRIDO;GRIDO;44;Baldes;5;5;2
272;CREMXX-XX-X-XXXRIDO;GRIDO;44;Baldes;5;5;2
