provincia,poblacion_prov,densidad_prov
Buenos Aires,17541141,57
Catamarca,415438,"4,0"
Chaco,1204541,12
Chubut,618994,"2,8"
Córdoba,3760450,23
Corrientes,1120801,13
Entre Ríos,1385961,18
Formosa,605193,"8,4"
Jujuy,770881,14
La Pampa,358428,"2,5"
La Rioja,393531,"4,4"
Mendoza,1990338,13
Misiones,1261294,42
Neuquén,664057,"7,1"
Río Negro,747610,"3,7"
Salta,1424397,"9,2"
San Juan,781217,"8,7"
San Luis,508328,"6,6"
Santa Cruz,365698,"1,5"
Santa Fe,3536418,27
Santiago del Estero,978313,"7,2"
Tierra del Fuego,173432,"8,0"
Tucumán,1694656,64
Capital Federal,3075646,"15069,99"
